-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,pf,hf,H/B,fc,Fyl,Fyv,ALr,AH,Av,S,Sc,DS
2.399797441,2.379338083,2.354291596,2.322963243,2.282740443,2.229420421,2.155968518,2.050664379,1.899459734,1.723279867,1.604575085,1.544426073,1.50827457,1.48064831,1.457494684,1.437363639,1.419798486,1.404589347,1.391520504,1.380330632,1.370741344,0.008357228,1.001397384,3,20.58,382,355.05,0.13,2.44,1.48,3.41,3.41,0
2.121036261,2.102064198,2.078848246,2.049788586,2.012368775,1.962407072,1.892505537,1.788923564,1.629825597,1.437690915,1.344112412,1.318988792,1.307494199,1.296457121,1.28348273,1.26885464,1.253916642,1.239896316,1.227406088,1.216564719,1.207248178,0.003809997,1.00045509,4,20.58,349.17,360.44,0.13,1.27,0.56,5,5,0
1.568812128,1.554181429,1.536297146,1.513955103,1.485293686,1.447311981,1.394996281,1.319994074,1.210473196,1.064599239,0.948567513,0.910026467,0.897839906,0.891327146,0.886744638,0.88305754,0.879860128,0.87695367,0.874235433,0.871655794,0.86919571,0.000868217,1.000106597,4,20.58,349.17,364.12,0.13,1.27,0.82,7.15,7.15,0
1.985004376,1.965588715,1.94181995,1.912079571,1.873862181,1.823103601,1.752858409,1.650843698,1.498844213,1.310498318,1.196305917,1.162952972,1.152185319,1.145410046,1.138919017,1.132028193,1.124864353,1.117738391,1.110926935,1.104605999,1.098854641,0.001929678,1.000240059,4,20.58,375.73,360.44,0.13,1.37,0.56,5,5,0
2.188617812,2.172060723,2.151827943,2.126560426,2.094143083,2.051100586,1.991326389,1.903287658,1.765603961,1.571505559,1.455841026,1.428959062,1.415163379,1.400807954,1.385761609,1.370955142,1.357143608,1.344736148,1.333842465,1.324384744,1.316199345,0.005131312,1.000668575,4,20.58,357.21,355.05,0.13,1.84,1.48,5.55,5.55,0
2.308893268,2.288674148,2.264011472,2.233287021,2.194012936,2.142180316,2.070985248,1.968605589,1.819287966,1.648227716,1.565178349,1.534054977,1.508996866,1.484238868,1.460612461,1.439147235,1.42042686,1.404511151,1.391128424,1.379879458,1.370366192,0.006873372,1.000950579,4,20.58,382,355.05,0.13,2.44,1.48,4.76,4.76,0
2.028252966,2.010917558,1.989738401,1.963289547,1.929359389,1.884361935,1.822225317,1.732526451,1.600253161,1.427657687,1.305252848,1.264308072,1.244399792,1.226808008,1.209612074,1.193434341,1.178965532,1.166445619,1.15578348,1.146745613,1.13906982,0.00293995,1.000360191,4,20.58,382,355.05,0.13,2.44,1.48,5.55,5.55,0
1.378010029,1.364614013,1.3484004,1.32842528,1.30330682,1.270980128,1.22836986,1.171415021,1.098541234,1.025066533,0.977216047,0.948332617,0.931047487,0.91981409,0.911767949,0.905482941,0.900293609,0.895860211,0.891991909,0.888571304,0.885519683,0.001057947,1.000113065,4,25.58,368.38,307.72,0.1,1.84,1.29,5,5,0
0.792483554,0.78635754,0.779168452,0.770615421,0.760280894,0.747622384,0.732172453,0.714694198,0.700394661,0.698262812,0.706683952,0.713236913,0.713022406,0.708506855,0.701567559,0.693252696,0.68452207,0.676198126,0.668748504,0.662306717,0.65681742,0.000869122,1.000086221,4,25.58,368.38,307.72,0.2,1.84,1.29,5,5,0
1.291428303,1.279406079,1.264917399,1.247152776,1.224922878,1.196435705,1.15899639,1.109085837,1.046608554,0.991197872,0.962932552,0.950614974,0.944311398,0.940083773,0.936602137,0.933293702,0.929972082,0.926630087,0.923330841,0.92014903,0.917142834,0.001019501,1.000117745,4,25.58,368.38,322.57,0.1,1.84,1.58,5.88,5.88,0
1.617209529,1.603078196,1.585823545,1.564316237,1.536841651,1.500695464,1.451419301,1.381272546,1.276640791,1.127558757,1.010251483,0.972071097,0.960217452,0.955145986,0.952349703,0.950405876,0.948809679,0.947365108,0.945993582,0.944664827,0.943369343,0.001197387,1.000118029,4,25.58,368.38,322.57,0.2,1.84,1.58,5.88,5.88,0
1.453986758,1.441384353,1.426117469,1.407258611,1.383401715,1.352327912,1.310426633,1.252026608,1.171000206,1.073662407,1.003703465,0.983523379,0.977704643,0.973734823,0.97028374,0.967101134,0.964077821,0.961162407,0.958341253,0.955622811,0.953024864,0.001244094,1.000116905,4,25.58,394.55,307.72,0.1,2.04,1.29,5,5,0
1.531923613,1.517323675,1.499485765,1.477204824,1.448600963,1.410581641,1.357729305,1.280014117,1.160436226,0.997734396,0.875106697,0.839315103,0.831925098,0.828371043,0.825357888,0.822425088,0.819503533,0.816589794,0.813700445,0.810861166,0.80810012,0.001087822,1.000107658,4,25.58,394.55,307.72,0.2,2.04,1.29,5,5,0
1.692590036,1.675753202,1.655248288,1.629773806,1.597368975,1.554984087,1.497777324,1.418285987,1.307319075,1.173286869,1.099034621,1.086959128,1.086492117,1.086648505,1.086014074,1.084699659,1.082951956,1.080940962,1.078767342,1.076491519,1.074153404,0.001539637,1.00018649,4,25.58,394.55,322.57,0.1,2.04,1.58,5.88,5.88,0
1.079910576,1.070501404,1.059226417,1.045480348,1.028351734,1.006400203,0.977237315,0.936749355,0.878307175,0.80196608,0.753510718,0.746789608,0.74677964,0.746040268,0.744886068,0.743647574,0.742437808,0.741289137,0.740207249,0.739189111,0.738229161,0.000554914,1.00005232,4,25.58,394.55,322.57,0.2,2.04,1.58,5.88,5.88,0
2.225199945,2.204181549,2.17857271,2.146703847,2.106017298,2.052424814,1.979075668,1.874200999,1.721681924,1.540097673,1.41136852,1.27576218,1.069393985,0.913350716,0.830197189,0.783232944,0.753733456,0.733572711,0.71892431,0.707793918,0.699047269,0.005829261,1.000862174,4,25.58,380.63,364.17,0.2,1.27,0.6,3.23,3.23,0
2.316911419,2.296094708,2.270650084,2.238873865,2.198136319,2.144181931,2.069732539,1.961706927,1.79898641,1.59546652,1.49470202,1.465644359,1.442718762,1.419456903,1.396865007,1.375982022,1.357520553,1.341678434,1.328273116,1.316955847,1.307356528,0.005540649,1.000627787,4,25.58,380.63,350.79,0.1,1.27,0.89,4.55,4.55,0
2.155256315,2.136183189,2.11291866,2.083941559,2.04692218,1.998137805,1.931365059,1.835908697,1.695841053,1.519860862,1.414182752,1.368138368,1.321368806,1.264101153,1.213181551,1.175149702,1.146794707,1.12494692,1.107651926,1.093690635,1.082244027,0.004837932,1.000580581,4,25.58,380.63,350.79,0.2,1.27,0.89,4.55,4.55,0
2.169159362,2.147608124,2.121380868,2.088828997,2.047482121,1.993534334,1.921008241,1.820787502,1.683717422,1.529500578,1.424829725,1.373674993,1.342052256,1.315711231,1.292153616,1.271129835,1.252774834,1.237025226,1.223613324,1.21218931,1.20241106,0.004034889,1.000510168,4,25.58,375.73,364.17,0.1,1.14,0.6,3.23,3.23,0
2.243161253,2.222732363,2.197775409,2.16661285,2.126653134,2.073724437,2.000863831,1.896570015,1.746978278,1.568410858,1.44371209,1.362888302,1.26355417,1.165519039,1.101808294,1.060826624,1.032316252,1.011328031,0.995272363,0.98262508,0.972421588,0.005244701,1.000602851,4,25.58,375.73,364.17,0.2,1.14,0.6,3.23,3.23,0
2.107734518,2.088342728,2.064733647,2.035399667,1.998038571,1.948982324,1.882145225,1.787407439,1.651993237,1.496458228,1.419606445,1.387597512,1.362541259,1.340659985,1.320922513,1.303050127,1.287132324,1.273213872,1.261192235,1.250861559,1.241979965,0.004265087,1.000513986,4,25.58,375.73,350.79,0.1,1.14,0.89,4.55,4.55,0
2.091136721,2.072283661,2.04925227,2.020504009,1.983675977,1.935000071,1.86825066,1.773008968,1.634616058,1.463387227,1.337208112,1.236726127,1.110976554,1.012499833,0.956695175,0.922004947,0.897854195,0.879830428,0.865796956,0.854554363,0.845356318,0.004134868,1.000560417,4,25.58,375.73,350.79,0.2,1.14,0.89,4.55,4.55,0
0.571888841,0.568058763,0.563435622,0.557735489,0.550520881,0.541086867,0.528240295,0.509873438,0.482567159,0.449436079,0.458063443,0.472627422,0.46726222,0.460914041,0.455754754,0.451556756,0.448035927,0.445010052,0.442366973,0.440033829,0.437959495,0.00065,1.000084496,2,14.31,379.55,334.87,0.18,0.68,1.27,5.55,5.55,0
1.019748407,1.009985953,0.9981544,0.983508046,0.964886058,0.940379919,0.906648265,0.857489202,0.781614858,0.667837221,0.548064685,0.484424496,0.45647885,0.43825429,0.424587515,0.414020188,0.405787365,0.399305432,0.3941238,0.38990973,0.386423806,0.000532982,1.000035886,2,14.31,379.55,334.87,0.18,0.68,1.27,5.55,5.55,0
0.80469919,0.796655716,0.786837211,0.774595951,0.758936098,0.738248869,0.709761633,0.668302961,0.604012525,0.508696238,0.428399076,0.407576941,0.404940464,0.403873893,0.402692117,0.401422189,0.400167853,0.398982947,0.397887967,0.396886646,0.395974967,0.000514659,1.000069291,2,14.31,379.55,390.82,0.18,0.68,0.56,5,5,0
